name,variables,records,size_in_mb
ls2004pr,683,40490,108
ls2004kr,8704,3697,48
ls2004br,8433,14708,185
ls2009ir,7500,7624,93
ls2009mr,2422,3317,12
ls2009pr,783,44546,127
ls2009kr,8333,3999,53
ls2009br,8040,14429,185
ls2014ir,6656,6621,74
ls2014kr,7449,3138,38
ls2014br,7190,11710,138
ls2014mr,2084,2931,9
ls2014pr,798,40197,115
mg1992ir,3874,6260,36
mg1992kr,4083,5273,32
mg1992br,3888,18931,108
mg1992pr,153,31423,12
mg1997ir,5069,7060,59
mg1997kr,5421,3681,32
mg1997br,5213,21653,181
mg1997pr,399,35059,63
mg2003ir,11495,7949,115
mg2003mr,6576,10000,84
mg2003kr,12361,5415,84
mg2003br,12032,20799,313
mg2003pr,445,38325,38
mg2008ir,8176,17375,223
mg2008mr,3086,10000,42
mg2008kr,8860,12448,170
mg2008br,8543,48464,638
mg2008pr,893,85858,252
nm1992ir,4530,5421,36
nm1992pr,156,26624,11
nm1992kr,4870,3916,28
nm1992br,4620,13372,92
nm2000ir,6396,6755,70
nm2000mr,2515,2954,10
nm2000pr,617,31675,82
nm2000kr,7087,3989,45
nm2000br,6873,14946,163
nm2006ir,8359,9804,128
nm2006mr,3438,3915,18
nm2006pr,826,42633,121
nm2006kr,9194,5168,73
nm2006br,8914,19522,268
nm2013mr,3869,4481,26
nm2013pr,1022,41646,134
nm2013br,8493,18090,252
nm2013ir,7925,10018,133
nm2013kr,8767,5046,72
zm1992pr,151,34943,13
zm1992br,3738,22122,119
zm1992ir,3678,7060,38
zm1992kr,3929,6299,36
zm1996pr,173,39721,18
zm1996br,4706,24799,165
zm1996ir,4620,8021,53
zm1996mr,1094,10000,14
zm1996kr,4909,7248,51
zm2001pr,427,38089,37
zm2001br,7496,23805,246
zm2001ir,7058,7658,76
zm2001mr,2729,10000,39
zm2001kr,7802,6877,75
zm2007pr,959,35562,109
zm2007br,9002,21366,302
zm2007ir,8653,7146,98
zm2007mr,3362,10000,50
zm2007kr,9334,6401,94
zm2013ir,8592,16411,225
zm2013pr,918,83058,251
