name,variables,records,size_in_mb
cps2011_04b,599,205430,187
cps2011_06s,842,205575,309
cps2011_07s,947,205784,431
cps2011_08s,812,206057,275
cps2011_09s,1123,206435,666
cps2011_10s,831,207010,403
cps2011_11s,648,205399,206
cps2011_12s,988,204754,331
cps2011_03s,2047,301941,1827
cps2012_03s,2111,298057,1518
cps2012_07s,965,205312,292
cps2012_01s,724,204481,235
cps2012_02b,599,204215,185
cps2012_03b,612,203431,192
cps2012_04b,599,205047,186
cps2012_05s,843,204944,400
cps2012_06s,619,205391,197
cps2012_08s,712,205056,221
cps2012_09s,1046,204811,607
cps2012_10s,1259,204575,801
cps2012_11s,624,205555,198
cps2012_12s,990,204927,333
cps2013_03s,1812,300729,1414
cps2013_01b,601,205577,187
cps2013_02s,641,204144,199
cps2013_03b,613,203070,192
cps2013_04b,601,205138,186
cps2013_05b,601,205856,187
cps2013_06s,923,204213,319
cps2013_07s,1041,203416,635
cps2013_08s,712,203710,219
cps2013_09s,885,203470,414
cps2013_10s,831,204119,394
cps2013_11s,968,203550,613
cps2013_12s,990,203867,332
cps2014_01s,733,204280,234
cps2014_02s,640,203687,196
cps2014_03b,614,202446,187
cps2014_04b,609,203212,183
cps2014_05b,609,205010,185
cps2014_06s,627,204878,195
cps2014_07s,879,205504,269
cps2014_08s,719,206249,219
cps2014_09s,894,206898,442
cps2014_10s,841,209320,427
cps2014_11s,794,209276,414
cps2014_12s,997,206745,348
cps2014_03s,2161,297482,1552
cps2015_03s,1860,298485,1405
cps2015_01s,884,207517,275
cps2015_02s,654,205233,202
cps2015_03b,619,203768,190
cps2015_04b,614,205998,188
cps2015_05s,885,205259,271
cps2015_06s,713,202818,205
cps2015_07s,736,207517,227
cps2015_08s,725,203414,219
cps2015_09s,737,203269,228
cps2015_10s,683,204448,208
cps2015_11b,614,204549,187
cps2015_12s,828,203450,227
cps2016_03s,1858,279584,1316
cps2016_01s,741,204106,236
cps2016_02s,618,203240,187
cps2016_03b,622,200636,186
cps2016_04b,617,202332,185
cps2016_05b,617,203061,185
cps2016_06s,635,202719,195
cps2016_07b,617,203512,186
cps2016_08s,728,206043,223
cps2016_09s,617,207012,190
cps2016_10s,686,206317,211
cps2016_11s,639,205917,197
cps2016_12s,831,203702,228
cps2017_01b,615,203655,189
cps2017_02s,616,203554,189
cps2017_03b,621,201762,191
cps2017_04b,616,202601,189
cps2017_05s,828,200926,247
cps2017_06s,721,200122,205
cps2017_07s,858,199566,248
cps2017_03s,1842,280920,1303
cps2017_08s,725,199543,219
cps2017_09s,677,200126,209
cps2017_10s,670,200256,206
cps2017_11s,730,200292,219
cps2017_12s,825,198393,224
cps2018_01s,737,197814,229
cps2018_02s,613,196704,181
cps2018_03b,616,195250,181
cps2018_04b,612,196613,179
cps2018_05b,612,195397,178
cps2018_06s,624,194445,182
cps2018_07s,611,192984,174
cps2018_03s,1855,272223,1262
cps2018_08s,714,193778,203
cps2018_09s,611,195134,177
cps2018_10s,611,194607,176
cps2018_11s,611,193851,175
cps2018_12s,611,192111,173
cps2019_01s,609,191965,169
cps2019_02s,606,190482,164
cps2019_03b,606,189101,161
